Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value,,,,,
2021,,"Alfalfa, All",1,Alameda,95,,,,,125000,,,,,
2021,,"Alfalfa, All",5,Amador,855,,,,,1590000,,,,,
2021,,"Alfalfa, All",7,Butte,507,,,,,536000,,,,,
2021,,"Alfalfa, All",11,Colusa,7770,,,,,11300000,,,,,
2021,,"Alfalfa, All",13,Contra Costa,1730,,,,,1549000,,,,,
2021,,"Alfalfa, All",19,Fresno,26000,,,,,56628000,,,,,
2021,,"Alfalfa, All",21,Glenn,7750,,,,,12688000,,,,,
2021,,"Alfalfa, All",25,Imperial,151000,,,,,251683000,,,,,
2021,,"Alfalfa, All",27,Inyo,,,,,,2611000,,,,,
2021,,"Alfalfa, All",29,Kern,53900,,,,,89602000,,,,,
2021,,"Alfalfa, All",31,Kings,22400,,,,,45995000,,,,,
2021,,"Alfalfa, All",39,Madera,,,,,,18666000,,,,,
2021,,"Alfalfa, All",47,Merced,44400,,,,,68462000,,,,,
2021,,"Alfalfa, All",49,Modoc,39900,,,,,57364000,,,,,
2021,,"Alfalfa, All",51,Mono,,,,,,14844000,,,,,
2021,,"Alfalfa, All",53,Monterey,730,,,,,389000,,,,,
2021,,"Alfalfa, All",63,Plumas,5480,,,,,4024000,,,,,
2021,,"Alfalfa, All",65,Riverside,56200,,,,,82800000,,,,,
2021,,"Alfalfa, All",67,Sacramento,13200,,,,,18028000,,,,,
2021,,"Alfalfa, All",71,San Bernardino,4210,,,,,6542000,,,,,
2021,,"Alfalfa, All",77,San Joaquin,41100,,,,,62646000,,,,,
2021,,"Alfalfa, All",79,San Luis Obispo,1420,,,,,1872000,,,,,
2021,,"Alfalfa, All",89,Shasta,2400,,,,,3128000,,,,,
2021,,"Alfalfa, All",91,Sierra,3220,,,,,2001000,,,,,
2021,,"Alfalfa, All",93,Siskiyou,35000,,,,,45712000,,,,,
2021,,"Alfalfa, All",95,Solano,23200,,,,,28606000,,,,,
2021,,"Alfalfa, All",99,Stanislaus,13400,,,,,22353000,,,,,
2021,,"Alfalfa, All",101,Sutter,3690,,,,,5338000,,,,,
2021,,"Alfalfa, All",103,Tehama,1250,,,,,1704000,,,,,
2021,,"Alfalfa, All",107,Tulare,34800,,,,,109603000,,,,,
2021,,"Alfalfa, All",113,Yolo,23800,,,,,34336000,,,,,
2021,,"Alfalfa, All",115,Yuba,237,,,,,320000,,,,,
2021,,"Alfalfa, All",998,Sum of Others,7470,,,,,12944000,,,,,
2021,,"Alfalfa, All",999,State Total,627114,,,,,1075989000,,,,,
2021,181999,"Hay, Alfalfa",1,Alameda,95,6,570,219.3,Tons,125000,,,,,
2021,181999,"Hay, Alfalfa",5,Amador,855,6,5130,309.94,Tons,1590000,,,,,
2021,181999,"Hay, Alfalfa",7,Butte,507,4.5,2280,235.09,Tons,536000,,,,,
2021,181999,"Hay, Alfalfa",11,Colusa,7770,6.11,47500,237.9,Tons,11300000,,,,,
2021,181999,"Hay, Alfalfa",13,Contra Costa,1730,4.39,7600,203.82,Tons,1549000,,,,,
2021,181999,"Hay, Alfalfa",19,Fresno,26000,9,234000,242,Tons,56628000,,,,,
2021,181999,"Hay, Alfalfa",21,Glenn,7750,7.12,55200,229.85,Tons,12688000,,,,,
2021,181999,"Hay, Alfalfa",25,Imperial,151000,8.17,1234000,203.96,Tons,251683000,,,,,
2021,181999,"Hay, Alfalfa",27,Inyo,,,11400,229.04,Tons,2611000,,,,,
2021,181999,"Hay, Alfalfa",29,Kern,53900,7.31,394000,227.42,Tons,89602000,,,,,
2021,181999,"Hay, Alfalfa",31,Kings,22400,8.26,185000,248.62,Tons,45995000,,,,,
2021,181999,"Hay, Alfalfa",39,Madera,,,73100,239,Tons,17471000,,,,,
2021,181999,"Hay, Alfalfa",47,Merced,44400,6.37,283000,241.92,Tons,68462000,,,,,
2021,181999,"Hay, Alfalfa",49,Modoc,39900,5.84,233000,246.2,Tons,57364000,,,,,
2021,181999,"Hay, Alfalfa",51,Mono,,,58900,252.02,Tons,14844000,,,,,
2021,181999,"Hay, Alfalfa",53,Monterey,730,2.49,1820,213.74,Tons,389000,,,,,
2021,181999,"Hay, Alfalfa",63,Plumas,5480,3.19,17500,229.94,Tons,4024000,,,,,
2021,181999,"Hay, Alfalfa",65,Riverside,52300,7.99,418000,180.17,Tons,75312000,,,,,
2021,181999,"Hay, Alfalfa",67,Sacramento,13200,5.99,79100,227.91,Tons,18028000,,,,,
2021,181999,"Hay, Alfalfa",71,San Bernardino,4210,7.22,30400,215.2,Tons,6542000,,,,,
2021,181999,"Hay, Alfalfa",77,San Joaquin,41100,6.4,263000,238.2,Tons,62646000,,,,,
2021,181999,"Hay, Alfalfa",79,San Luis Obispo,1420,5.25,7460,250.94,Tons,1872000,,,,,
2021,181999,"Hay, Alfalfa",89,Shasta,2400,5.5,13200,236.97,Tons,3128000,,,,,
2021,181999,"Hay, Alfalfa",91,Sierra,3220,2.7,8700,230,Tons,2001000,,,,,
2021,181999,"Hay, Alfalfa",93,Siskiyou,35000,6.26,219000,208.73,Tons,45712000,,,,,
2021,181999,"Hay, Alfalfa",95,Solano,23200,5.52,128000,223.48,Tons,28606000,,,,,
2021,181999,"Hay, Alfalfa",99,Stanislaus,13400,7.09,95000,235.29,Tons,22353000,,,,,
2021,181999,"Hay, Alfalfa",101,Sutter,3690,5.74,21200,251.79,Tons,5338000,,,,,
2021,181999,"Hay, Alfalfa",103,Tehama,1250,5.95,7440,229.03,Tons,1704000,,,,,
2021,181999,"Hay, Alfalfa",107,Tulare,34800,9.86,343000,241,Tons,82663000,,,,,
2021,181999,"Hay, Alfalfa",113,Yolo,23800,6.22,148000,232,Tons,34336000,,,,,
2021,181999,"Hay, Alfalfa",115,Yuba,237,5.99,1420,225.35,Tons,320000,,,,,
2021,181999,"Hay, Alfalfa",998,Sum of Others,7470,,,,,12944000,,,,,
2021,181999,"Hay, Alfalfa",999,State Total,623214,7.28,4626920,222.05,Tons,1040366000,,,,,
2021,195199,Silage,39,Madera,,,21000,56.91,Tons,1195000,,,,,
2021,195199,Silage,65,Riverside,3900,8,31200,240,Tons,7488000,,,,,
2021,195199,Silage,107,Tulare,,,449000,60,Tons,26940000,,,,,
2021,195199,Silage,999,State Total,3900,8,501200,71.08,Tons,35623000,,,,,
2021,,"Almonds, All",7,Butte,37200,,,,,121933000,,,,,
2021,,"Almonds, All",11,Colusa,67700,,,,,222455000,,,,,
2021,,"Almonds, All",19,Fresno,287000,,,,,1437644000,,,,,
2021,,"Almonds, All",21,Glenn,64500,,,,,240530000,,,,,
2021,,"Almonds, All",29,Kern,231000,,,,,1198449000,,,,,
2021,,"Almonds, All",31,Kings,37100,,,,,190674000,,,,,
2021,,"Almonds, All",47,Merced,121000,,,,,520813000,,,,,
2021,,"Almonds, All",61,Placer,4170,,,,,11830000,,,,,
2021,,"Almonds, All",67,Sacramento,1750,,,,,7216000,,,,,
2021,,"Almonds, All",77,San Joaquin,109000,,,,,486964000,,,,,
2021,,"Almonds, All",95,Solano,22400,,,,,71123000,,,,,
2021,,"Almonds, All",99,Stanislaus,227000,,,,,1084744000,,,,,
2021,,"Almonds, All",107,Tulare,89600,,,,,355710000,,,,,
2021,,"Almonds, All",113,Yolo,45100,,,,,141965000,,,,,
2021,,"Almonds, All",115,Yuba,2640,,,,,6789000,,,,,
2021,,"Almonds, All",998,Sum of Others,196000,,,,,880149000,,,,,
2021,,"Almonds, All",999,State Total,1543160,,,,,6978988000,,,,,
2021,268099,Almond Hulls,7,Butte,,,49400,125.06,Tons,6178000,,,,,
2021,268099,Almond Hulls,11,Colusa,,,67700,70.02,Tons,4740000,,,,,
2021,268099,Almond Hulls,19,Fresno,,,598000,130,Tons,77740000,,,,,
2021,268099,Almond Hulls,21,Glenn,,,79800,135,Tons,10773000,,,,,
2021,268099,Almond Hulls,31,Kings,,,89200,129.93,Tons,11590000,,,,,
2021,268099,Almond Hulls,39,Madera,,,376000,140.12,Tons,52685000,,,,,
2021,268099,Almond Hulls,47,Merced,,,245000,142.67,Tons,34955000,,,,,
2021,268099,Almond Hulls,77,San Joaquin,,,251000,130.14,Tons,32666000,,,,,
2021,268099,Almond Hulls,99,Stanislaus,,,525000,129.97,Tons,68232000,,,,,
